               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.041742,            0.026788,                   0,             0.84338,                   1,               0.995,             0.65031,            0.036888,            0.016814,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.044816,            0.020672,                   0,             0.82224,             0.77789,               0.885,             0.50786,            0.046726,            0.016377,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.050642,            0.023568,                   0,             0.82224,             0.77789,               0.885,             0.50786,            0.046726,            0.016377,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.049052,            0.024002,                   0,             0.82224,             0.77789,               0.885,             0.50786,            0.046726,            0.016377,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.046446,            0.017631,                   0,             0.73663,                   1,              0.9125,             0.52986,            0.037049,            0.016788,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.044518,            0.021281,                   0,             0.73663,                   1,              0.9125,             0.52986,            0.037049,            0.016788,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.044775,            0.031755,                   0,             0.73663,                   1,              0.9125,             0.52986,            0.037049,            0.016788,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.042557,            0.030423,                   0,             0.97729,                   1,               0.995,             0.64072,            0.035147,            0.017025,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.039337,            0.025071,                   0,             0.97729,                   1,               0.995,             0.64072,            0.035147,            0.017025,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.042762,            0.026763,                   0,                   1,             0.87925,               0.995,             0.57588,            0.047078,            0.016251,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.046819,            0.021279,                   0,                   1,             0.87925,               0.995,             0.57588,            0.047078,            0.016251,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.046783,            0.034145,                   0,                   1,             0.87925,               0.995,             0.57588,            0.047078,            0.016251,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.044724,            0.024452,                   0,             0.98286,                   1,               0.995,             0.56639,            0.035424,            0.016295,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.037416,            0.020899,                   0,             0.98286,                   1,               0.995,             0.56639,            0.035424,            0.016295,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.037122,            0.023988,                   0,             0.98286,                   1,               0.995,             0.56639,            0.035424,            0.016295,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.038377,            0.027846,                   0,             0.98356,                   1,               0.995,             0.60149,            0.033893,            0.016092,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.038488,            0.034716,                   0,             0.98356,                   1,               0.995,             0.60149,            0.033893,            0.016092,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.038064,            0.024318,                   0,              0.9844,                   1,               0.995,             0.58394,            0.037065,            0.016018,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.036432,            0.017499,                   0,              0.9844,                   1,               0.995,             0.58394,            0.037065,            0.016018,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.037542,            0.026967,                   0,              0.9844,                   1,               0.995,             0.58394,            0.037065,            0.016018,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.044409,            0.018429,                   0,             0.98327,                   1,               0.995,             0.56881,            0.039204,            0.015807,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.042135,            0.016676,                   0,             0.98327,                   1,               0.995,             0.56881,            0.039204,            0.015807,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.040134,            0.027456,                   0,             0.98327,                   1,               0.995,             0.56881,            0.039204,            0.015807,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.037958,            0.025935,                   0,             0.98121,                   1,               0.995,             0.59263,             0.03652,            0.015714,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.033196,            0.018015,                   0,             0.98121,                   1,               0.995,             0.59263,             0.03652,            0.015714,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.038695,            0.021328,                   0,                   1,             0.98947,               0.995,             0.49001,            0.038535,            0.015709,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.042591,            0.018736,                   0,                   1,             0.98947,               0.995,             0.49001,            0.038535,            0.015709,                   0,             0.00406,             0.00406,             0.00406
                 122,             0.04161,            0.021361,                   0,                   1,             0.98947,               0.995,             0.49001,            0.038535,            0.015709,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.029756,            0.020465,                   0,             0.98118,                   1,               0.995,             0.59806,            0.036954,            0.015774,                   0,            0.003961,            0.003961,            0.003961
                 124,            0.038108,            0.031807,                   0,             0.98118,                   1,               0.995,             0.59806,            0.036954,            0.015774,                   0,           0.0039115,           0.0039115,           0.0039115
                 125,            0.038649,            0.026275,                   0,             0.98118,                   1,               0.995,             0.59806,            0.036954,            0.015774,                   0,            0.003862,            0.003862,            0.003862
                 126,            0.036853,            0.018477,                   0,             0.98262,                   1,               0.995,             0.59303,            0.035424,            0.015773,                   0,           0.0038125,           0.0038125,           0.0038125
                 127,            0.032574,            0.015159,                   0,             0.98262,                   1,               0.995,             0.59303,            0.035424,            0.015773,                   0,            0.003763,            0.003763,            0.003763
                 128,            0.037216,            0.022371,                   0,             0.98296,                   1,               0.995,             0.59565,            0.035777,            0.016029,                   0,           0.0037135,           0.0037135,           0.0037135
                 129,            0.038759,            0.019657,                   0,             0.98296,                   1,               0.995,             0.59565,            0.035777,            0.016029,                   0,            0.003664,            0.003664,            0.003664
                 130,            0.032279,            0.016962,                   0,             0.98296,                   1,               0.995,             0.59565,            0.035777,            0.016029,                   0,           0.0036145,           0.0036145,           0.0036145
                 131,            0.038822,            0.025536,                   0,             0.98352,                   1,               0.995,             0.60709,            0.034217,            0.015806,                   0,            0.003565,            0.003565,            0.003565
                 132,            0.035527,             0.01898,                   0,             0.98352,                   1,               0.995,             0.60709,            0.034217,            0.015806,                   0,           0.0035155,           0.0035155,           0.0035155
                 133,            0.035586,            0.031052,                   0,             0.98352,                   1,               0.995,             0.60709,            0.034217,            0.015806,                   0,            0.003466,            0.003466,            0.003466
                 134,            0.032533,             0.01778,                   0,             0.98465,                   1,               0.995,             0.60843,             0.03354,             0.01584,                   0,           0.0034165,           0.0034165,           0.0034165
                 135,            0.034629,            0.023292,                   0,             0.98465,                   1,               0.995,             0.60843,             0.03354,             0.01584,                   0,            0.003367,            0.003367,            0.003367
                 136,            0.036757,            0.022984,                   0,             0.98472,                   1,               0.995,             0.59375,            0.035414,            0.016275,                   0,           0.0033175,           0.0033175,           0.0033175
                 137,             0.03108,            0.018873,                   0,             0.98472,                   1,               0.995,             0.59375,            0.035414,            0.016275,                   0,            0.003268,            0.003268,            0.003268
                 138,            0.037125,            0.031334,                   0,             0.98472,                   1,               0.995,             0.59375,            0.035414,            0.016275,                   0,           0.0032185,           0.0032185,           0.0032185
                 139,              0.0355,            0.019035,                   0,             0.98506,                   1,               0.995,             0.58801,            0.035515,            0.016158,                   0,            0.003169,            0.003169,            0.003169
                 140,            0.034124,            0.029102,                   0,             0.98506,                   1,               0.995,             0.58801,            0.035515,            0.016158,                   0,           0.0031195,           0.0031195,           0.0031195
                 141,            0.043607,            0.021874,                   0,             0.98506,                   1,               0.995,             0.58801,            0.035515,            0.016158,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.033003,            0.012986,                   0,              0.9857,                   1,               0.995,             0.52864,            0.037287,            0.016274,                   0,           0.0030205,           0.0030205,           0.0030205
